[2023-05-26 14:32:57] User: hfehf | Bot: I'm sorry, but I couldn't understand your request. Could you please rephrase? | Sentiment: neutral | Score: 0
[2023-05-26 14:52:49] User: sdvs | Bot: I'm sorry, but I couldn't understand your request. Could you please rephrase? | Sentiment: neutral | Score: 0
[2023-05-26 14:52:49] User:  | Bot: I'm sorry, but I couldn't understand your request. Could you please rephrase? | Sentiment: neutral | Score: 0
[2023-05-26 14:52:53] User:               Is ADTU a private university?             | Bot: Default response | Sentiment: neutral | Score: 0
[2023-05-26 14:53:35] User:               What are the admission requirements for the MBA program?             | Bot: Default response | Sentiment: neutral | Score: 0
[2023-05-26 14:53:50] User: bad | Bot: I'm sorry, but I couldn't understand your request. Could you please rephrase? | Sentiment: neutral | Score: 0
[2023-05-26 14:54:04] User:               How is the education system structured at AdtU?             | Bot: Default response | Sentiment: neutral | Score: 0
[2023-05-26 15:02:03] User: ds | Bot: I'm sorry, but I couldn't understand your request. Could you please rephrase? | Sentiment: neutral | Score: 0
[2023-05-26 15:02:04] User:               Are there opportunities for part time employment?             | Bot: Yes, we conduct events called campus bazaar every friday for our students where they can start their business journey. | Sentiment: neutral | Score: 0
[2023-05-26 15:02:16] User: it is very bad response | Bot: I'm sorry, but I couldn't understand your request. Could you please rephrase? | Sentiment: negative | Score: -1
[2023-05-26 15:06:04] User: dd | Bot: I'm sorry, but I couldn't understand your request. Could you please rephrase? | Sentiment: neutral | Score: 0
[2023-05-26 15:06:06] User:               How can I contact the admission office of ADTU University?             | Bot: you can call on this number:<a href='tel:+91 9864137777'>+91 9864137777</a> or You can mail us on <a href='admission@adtu.in'>admission@adtu.in</a>. | Sentiment: neutral | Score: 0
[2023-05-26 15:06:12] User: very bad | Bot: I'm sorry, but I couldn't understand your request. Could you please rephrase? | Sentiment: negative | Score: -1
[2023-05-26 15:06:23] User: very good | Bot: I'm sorry, but I couldn't understand your request. Could you please rephrase? | Sentiment: positive | Score: 1
[2023-05-26 15:18:50] User: cwf | Bot: I'm sorry, but I couldn't understand your request. Could you please rephrase? | Sentiment: neutral | Score: 0
[2023-05-26 15:18:52] User:               does university have placement facility?             | Bot: Yes, ADTU University has a dedicated placement cell that assists students in their placement and career development. | Sentiment: neutral | Score: 0
[2023-05-26 15:18:56] User: thank  | Bot: I'm sorry, but I couldn't understand your request. Could you please rephrase? | Sentiment: neutral | Score: 0
[2023-05-26 15:19:00] User: thanks | Bot: Happy to help! | Sentiment: neutral | Score: 0
[2023-05-26 15:23:44] User: dd | Bot: I'm sorry, but I couldn't understand your request. Could you please rephrase? | Sentiment: neutral | Score: 0
[2023-05-26 15:23:46] User:               Are scholarships available?             | Bot: Hey :-) | Sentiment: neutral | Score: 0
[2023-05-26 15:23:47] User:               How is the education system structured at AdtU?             | Bot: At AdtU, the education system is based on a semester system. Students progress to the next semester and qualify for a degree or diploma by maintaining a minimum SGPA (Semester Grade Point Average) and CGPA (Cumulative Grade Point Average). | Sentiment: neutral | Score: 0
[2023-05-26 15:23:50] User: bye | Bot: See you later, thanks for visiting | Sentiment: neutral | Score: 0
[2023-05-26 15:32:58] User: cbc | Bot: I'm sorry, but I couldn't understand your request. Could you please rephrase? | Sentiment: neutral | Score: 0
[2023-05-26 15:33:05] User:               does university have placement facility?             | Bot: Yes, ADTU University has a dedicated placement cell that assists students in their placement and career development. | Sentiment: neutral | Score: 0
[2023-05-26 15:33:12] User:               How can I contact the admission office of ADTU University?             | Bot: you can call on this number:<a href='tel:+91 9864137777'>+91 9864137777</a> or You can mail us on <a href='admission@adtu.in'>admission@adtu.in</a>. | Sentiment: neutral | Score: 0
[2023-05-26 15:33:18] User: thank you | Bot: Any time! | Sentiment: neutral | Score: 0
[2023-05-26 15:33:47] User: cdvb | Bot: I'm sorry, but I couldn't understand your request. Could you please rephrase? | Sentiment: neutral | Score: 0
[2023-05-26 15:33:49] User:               does university have placement facility?             | Bot: Yes, ADTU University has a dedicated placement cell that assists students in their placement and career development. | Sentiment: neutral | Score: 0
